State,Vehicle_type,Value,Year
WV,Single Unit Long-haul Trucks,223.0387,2011
CT,Single Unit Short-haul Trucks,697.1641999999999,2011
DC,Single Unit Short-haul Trucks,399.03499999999997,2011
DE,Single Unit Short-haul Trucks,321.6252,2011
MA,Single Unit Short-haul Trucks,1755.8582000000001,2011
MD,Single Unit Short-haul Trucks,2681.8231,2011
ME,Single Unit Short-haul Trucks,2122.3277,2011
NC,Single Unit Short-haul Trucks,4355.138,2011
NH,Single Unit Short-haul Trucks,2794.1482,2011
NJ,Single Unit Short-haul Trucks,9735.528,2011
NY,Single Unit Short-haul Trucks,27750.6307,2011
PA,Single Unit Short-haul Trucks,11202.1992,2011
RI,Single Unit Short-haul Trucks,202.463,2011
VA,Single Unit Short-haul Trucks,3892.0584,2011
VT,Single Unit Short-haul Trucks,216.8435,2011
WV,Single Unit Short-haul Trucks,1278.5836,2011
CT,Transit Buses,109.4132,2011
DC,Transit Buses,213.8698,2011
DE,Transit Buses,153.3278,2011
MA,Transit Buses,275.4936,2011
MD,Transit Buses,478.35179999999997,2011
ME,Transit Buses,140.2403,2011
NC,Transit Buses,799.9287999999999,2011
NH,Transit Buses,428.3914,2011
NJ,Transit Buses,1694.9946,2011
NY,Transit Buses,5595.3459,2011
PA,Transit Buses,1699.3977,2011
RI,Transit Buses,13.4428,2011
VA,Transit Buses,674.1547,2011
VT,Transit Buses,279.3759,2011
WV,Transit Buses,104.0177,2011
CT,Combination Long-haul Trucks,2198.511568962,2017
DC,Combination Long-haul Trucks,72.56543805,2017
DE,Combination Long-haul Trucks,1493.445920882,2017
MA,Combination Long-haul Trucks,4682.978496441,2017
MD,Combination Long-haul Trucks,8850.05800331,2017
ME,Combination Long-haul Trucks,2738.41845655,2017
NC,Combination Long-haul Trucks,12148.77483927,2017
NH,Combination Long-haul Trucks,785.317878364,2017
NJ,Combination Long-haul Trucks,9287.82133098,2017
NY,Combination Long-haul Trucks,14852.84523184,2017
PA,Combination Long-haul Trucks,26523.32311995,2017
RI,Combination Long-haul Trucks,954.4222673950001,2017
VA,Combination Long-haul Trucks,16094.58467393,2017
VT,Combination Long-haul Trucks,535.584206235,2017
WV,Combination Long-haul Trucks,2911.165401221,2017
