State,Vehicle_type,Value
RI,Single Unit Long-haul Trucks,5.4636571279999995
VA,Single Unit Long-haul Trucks,168.67045151
VT,Single Unit Long-haul Trucks,9.183781972
WV,Single Unit Long-haul Trucks,141.635175319
CT,Single Unit Short-haul Trucks,104.521179595
DC,Single Unit Short-haul Trucks,34.97349662
DE,Single Unit Short-haul Trucks,90.81717040299999
MA,Single Unit Short-haul Trucks,676.3248798010001
MD,Single Unit Short-haul Trucks,463.542734053
ME,Single Unit Short-haul Trucks,226.188880359
NC,Single Unit Short-haul Trucks,393.880616479
NH,Single Unit Short-haul Trucks,223.39662152
NJ,Single Unit Short-haul Trucks,511.62377974
NY,Single Unit Short-haul Trucks,1410.187468935
PA,Single Unit Short-haul Trucks,1422.47535275
RI,Single Unit Short-haul Trucks,72.650664891
VA,Single Unit Short-haul Trucks,322.388324716
VT,Single Unit Short-haul Trucks,16.546842116
WV,Single Unit Short-haul Trucks,70.119015298
CT,Transit Buses,1.405626179
DC,Transit Buses,11.225080257
DE,Transit Buses,7.177326393
MA,Transit Buses,78.584428445
MD,Transit Buses,21.179958945
ME,Transit Buses,10.948465653
NC,Transit Buses,86.67645513000001
NH,Transit Buses,29.718620277
NJ,Transit Buses,120.238527081
NY,Transit Buses,123.699391557
PA,Transit Buses,123.016339473
RI,Transit Buses,2.355971927
VA,Transit Buses,133.93182787
VT,Transit Buses,8.783869938
WV,Transit Buses,17.006831587
